Taxon,Taxonomic.status,Taxon.update,Taxon.notes,LA,leafC,leafN.mg.g,height,rootC,rootN.mg.g,seed.dry.mass,SLA,leaf.thickness,root.depth,RTD,fineRTD,LDMC,SRL,fineSRL,rootDiam,Fine.root.C.N.ratio,Root.Shoot.Ratio,Notes,Notes.2,,,
ELEOCHARIS VIRIDANS,Accepted,ELEOCHARIS VIRIDANS,,,,,,,,,,,,,,,,,,,,,,,,
ELYMUS ELYMOIDES,Accepted,ELYMUS ELYMOIDES,,,,16.6,0.4572,412.6824188,6.333333333,2.358846618,16.08925205,0.12,0.3048,0.387230769,1.02E-06,,17.1884615,,0.0475,,,"SLA, RTD,Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",rootC from groot,,,
ELYMUS GLAUCUS,Accepted,ELYMUS GLAUCUS,,,,,1.00584,,,3.613980712,,,0.3048,,,,,,,,,,,,,
ELYMUS LANCEOLATUS,Accepted,ELYMUS LANCEOLATUS,,,,,,393,,4.163333333,,,1.25,0.30820288,,,94.78007133,,0.221186667,,,"RootC, RTD, depth, SRL from groot",,,,
ELYMUS REPENS,Accepted,ELYMUS REPENS,,1709.497333,448.1403943,26.17661742,0.605442518,404.6,16.42030861,2.632604182,22.79877956,0.17675,0.3556,0.220460629,,0.289986123,91.89875611,2417.441564,0.258457785,71.24138295,0.156875404,"RootC and N, RTD, SRL, Diam from groot",,,,
ELYMUS SMITHII,Accepted,ELYMUS SMITHII,,615.48375,444.0285,28.0185,0.6096,,17.06975875,3.193625998,31.74700117,0.277777778,0.508,,,,73.5,,,,,"RootN, SRL from groot",,,,
ELYMUS SPICATUS,Accepted,ELYMUS SPICATUS,,,,,0.8382,,,3.867837198,,0.0975,0.254,,,,,,,,,,,,,
ELYMUS TRACHYCAULUS,Accepted,ELYMUS TRACHYCAULUS,,,,,,433.980217,8.223750591,,,,,,,,62.47601098,,,,,"RootC and N, SRL from groot",,,,
EMEX AUSTRALIS,Accepted,EMEX AUSTRALIS,,,,,,,,,,,,,,,,,,,,,,,,
EMPETRUM NIGRUM,Accepted,EMPETRUM NIGRUM,,5.375333333,562.7960407,11.54888567,0.271133333,,6.06,1.055775,9.729822391,0.178001852,0.2532,,,0.378649643,,,,56.2037847,,,,,,
ENCELIA FARINOSA,Accepted,ENCELIA FARINOSA,,,,,0.9144,,,5.16631953,,0.254625,0.3048,,,,,,,,,,,,,
ENNEAPOGON CAERULESCENS,Accepted,ENNEAPOGON CAERULESCENS,,,,,,,,,,,,,,,,,,,,,,,,
ENNEAPOGON POLYPHYLLUS,Accepted,ENNEAPOGON POLYPHYLLUS,,131.4923,430,10.55,0.325,550,3.7,1.476333333,7.035333333,0.14,,0.44,,,,,0.6,,,RTD from groot,,,,
ENTEROPOGON RAMOSUS,Accepted,ENTEROPOGON RAMOSUS,,,,,,,,0.735,,,,,,,,,,,,,,,,
EPHEDRA NEVADENSIS,Accepted,EPHEDRA NEVADENSIS,,,,,0.9144,,,25.11938292,,,0.1524,,,,,,,,,,,,,
EPILOBIUM ANGUSTIFOLIUM,Accepted,EPILOBIUM ANGUSTIFOLIUM,,2874.814815,478.7734326,26.69696541,1.0483,,,0.155669643,19.77553761,0.215233333,0.627,,,0.264170862,261.095,,,40.07486022,,SRL from groot,,,,
EPILOBIUM BRACHYCARPUM,Accepted,EPILOBIUM BRACHYCARPUM,,,,,,408.3654022,10.95816314,0.314666667,,,,,,,81.71053256,,,,,"RootC and N, SRL from groot",,,,
EPILOBIUM TETRAGONUM,Accepted,EPILOBIUM TETRAGONUM,,,,,0.720833333,,,0.103958889,15.9,,,,,,,,,,,,,,,
Epipactis PALUSTRIS,Accepted,Epipactis PALUSTRIS,,,,,,,,,,,,,,,,,,,,,,,,
EQUISETUM ARVENSE,Accepted,EQUISETUM ARVENSE,,104.4227778,,20.06733732,0.344317143,,,,13.18450744,,0.2262,,,0.30163971,,,,,,,,,,
ERAGROSTIS CURVULA,Accepted,ERAGROSTIS CURVULA,,,416.5,11.225,0.9144,392.0333333,5.6,0.244511197,,0.14,0.3556,0.53,,,,,0.3,,,RTD from groot,,,,
ERAGROSTIS DIELSII,Accepted,ERAGROSTIS DIELSII,,90,,,0.3,,,0.062,5.7,,,,,,,,,,,,,,,
ERAGROSTIS ORTHOCLADA,Accepted,ERAGROSTIS ORTHOCLADA,,,,,,,,,,,,,,,,,,,,,,,,
ERAGROSTIS SETIFOLIA,Accepted,ERAGROSTIS SETIFOLIA,,96.342,,,0.38,,,0.040933333,7.946703097,,,,,,,,,,,,,,,
ERAGROSTIS SPECTABILIS,Accepted,ERAGROSTIS SPECTABILIS,,578.1581667,450.095,10.935,0.277,,,0.155112716,15.9372921,,0.1016,,,0.422245229,,,,,,,,,,
EREMOGONE CONGESTA,Accepted,EREMOGONE CONGESTA,,,,,,,,1.195,,,,,,,,,,,,,,,,
EREMOPHILA DUTTONII,Accepted,EREMOPHILA DUTTONII,,102.422,,,2.4,,,28.06366667,5.646986263,,,,,,,,,,,,,,,
EREMOPHILA GILESII,Accepted,EREMOPHILA GILESII,,,,,,,,93.3255,,,,,,,,,,,,,,,,
ERIACHNE ARISTIDEA,Accepted,ERIACHNE ARISTIDEA,,,550,8.1,,540,4.5,1.4,,0.19,,0.33,,,,,0.9,,,RTD from groot,,,,
ERICA TETRALIX,Accepted,ERICA TETRALIX,,4.136666667,,11.50813841,0.465833333,,,0.015831944,10.60442241,,,,,0.471098333,,,,,,,,,,
ERIGERON ANNUUS,Accepted,ERIGERON ANNUUS,,907.6666667,458.2143783,13.87251282,0.790891667,,,0.037333333,23.37334387,,,0.32875817,,0.253843451,62.7520477,,,,,"RTD, SRL from groot",,,,
ERIGERON BELLIDIOIDES,Accepted,ERIGERON BELLIDIOIDES,,,,,,,,0.77,,,,,,,,,,,,,,,,
ERIGERON BLAKEI,Accepted,ERIGERON BLAKEI,,,,,,,,,,,,,,,,,,,,,,,,
ERIGERON BLOOMERI,Accepted,ERIGERON BLOOMERI,,,,,,,,0.71,,,,,,,,,,,,,,,,
ERIGERON BONARIENSIS,Accepted,ERIGERON BONARIENSIS,,,,20.2,0.46625,,,0.119066667,17.6205,0.2931,,,,,,,,,,,,,,
ERIGERON CANADENSIS,Accepted,ERIGERON CANADENSIS,,,,,0.2418,,,0.05,18.324,,,0.09,,0.28489284,119,,0.35,,,"RTD, SRL, Diam from groot",,,,
ERIGERON PATAGONICUS,Accepted,ERIGERON PATAGONICUS,,,,,,,,,,,,,,,,,,,,,,,,
ERIGERON STRIGOSUS,Accepted,ERIGERON STRIGOSUS,,,,,0.633522222,,,0.640531401,24.97386549,0.14,0.254,,,0.149997805,,,,,0.227346004,,,,,
ERIOCHLOA PSEUDOACROTRICHA,Accepted,ERIOCHLOA PSEUDOACROTRICHA,,,,,,,,1.42,,,,,,,,,,,,,,,,
ERIOGONUM ANNUUM,Accepted,ERIOGONUM ANNUUM,,,,,,,,0.2,,,,,,,,,,,,,,,,
ERIOGONUM EFFUSUM,Accepted,ERIOGONUM EFFUSUM,,,,,,,,0.64,,,,,,,,,,,,,,,,
ERIOGONUM MACULATUM,Accepted,ERIOGONUM MACULATUM,,,,,,,,,,,,,,,,,,,,,,,,
ERIOGONUM PUSILLUM,Accepted,ERIOGONUM PUSILLUM,,,,,,,,0.09175,,,,,,,,,,,,,,,,
ERIOGONUM SPHAEROCEPHALUM,Accepted,ERIOGONUM SPHAEROCEPHALUM,,,,,0.3048,,,1.659830918,,,0.3556,,,,,,,,,,,,,
ERIOPHORUM ANGUSTIFOLIUM,Accepted,ERIOPHORUM ANGUSTIFOLIUM,,1422.787143,539.1661895,20.00955403,0.392104,,5.5,1.074778986,13.32708698,0.498,0.2895,,,0.342,,,0.7875,,,Diam from groot,,,,
ERIOPHORUM VAGINATUM,Accepted,ERIOPHORUM VAGINATUM,,215,462.7079143,18.34176544,0.441666667,450.9,7.2,0.86684,10.24422818,1.435,0.4,,,0.339430593,148.81,,0.756666667,,,"Root C, SRL, Diam from groot",,,,
ERIOPHYLLUM LANATUM var. LEUCOPHYLLUM,Accepted,ERIOPHYLLUM LANATUM var. LEUCOPHYLLUM,,,,,,,,,,,,,,,,,,,,,,,,
ERIOPHYLLUM PRINGLEI,Accepted,ERIOPHYLLUM PRINGLEI,,,,,,,,2.5815,,,,,,,,,,,,,,,,
ERIOPHYLLUM WALLACEI,Accepted,ERIOPHYLLUM WALLACEI,,,,,,,,0.276,,,,,,,,,,,,,,,,
ERIOSEMA CORDATUM,Accepted,ERIOSEMA CORDATUM,,,,,,,27.2,,,,,,,,,,,,,,,,,
ERODIUM AUREUM,Accepted,ERODIUM AUREUM,,,,,,,,,,,,,,,,,,,,,,,,
ERODIUM CICUTARIUM,Accepted,ERODIUM CICUTARIUM,,513.1543111,,,0.3255,326.4360428,11.47977948,1.59335381,32.53910618,0.2286,,0.43626943,,0.202648889,131.6796733,,0.1243,,,"RootC and N, RTD, SRL, Diam from groot",,,,
ERODIUM TEXANUM,Accepted,ERODIUM TEXANUM,,,,,,,,2.0125,,,,,,,,,,,,,,,,
ERYNGIUM EBRACTEATUM,Accepted,ERYNGIUM EBRACTEATUM,,,,,,,,,,,,,,,,,,,,,,,,
ERYTHRONIUM OREGONUM,Accepted,ERYTHRONIUM OREGONUM,,,,,,,,,,,,,,,,,,,,,,,,
ESCHSCHOLZIA CALIFORNICA,Accepted,ESCHSCHOLZIA CALIFORNICA,,,,,0.405253333,,,1.535962035,279.2808564,0.119048264,0.254,0.015053333,,,527.2,,0.24385,,,"SLA, thick, RTD, SRL, Diam from Justin",,,,
ESCOBARIA VIVIPARA,Accepted,ESCOBARIA VIVIPARA,,,,,,,,1.29,,,,,,,,,,,,,,,,
EUPATORIUM LEUCOLEPIS,Accepted,EUPATORIUM LEUCOLEPIS,,,,,,,,,,,,,,,,,,,,,,,,
EUPATORIUM ROTUNDIFOLIUM,Accepted,EUPATORIUM ROTUNDIFOLIUM,,,,,,,,,,,,,,,,,,,,,,,,
EUPHORBIA ALBOMARGINATA,Accepted,EUPHORBIA ALBOMARGINATA,,,,,,,,,12.64955294,,0.83,91.60179971,9.39E-07,,0.001213448,,0.09,,,"SLA, RTD, fineRTD, SLR, Diam from  Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",depth from groot,,,
EUPHORBIA CYPARISSIAS,Accepted,EUPHORBIA CYPARISSIAS,,,,,0.2375,,,1.9815,23.6,,,,,,,,,,,,,,,
EUPHORBIA DENTATA,Accepted,EUPHORBIA DENTATA,,,,,,,,5.379583333,,,,,,,,,,,,,,,,
EUPHORBIA DRUMMONDII,Accepted,EUPHORBIA DRUMMONDII,,11.82776,,,0.1276,,,1.734833333,12.13032804,,,,,,,,,,,,,,,
EUPHORBIA EICHLERI,Accepted,EUPHORBIA EICHLERI,,,,,,,,,,,,,,,,,,,,,,,,
EUPHORBIA GLYPTOSPERMA,Accepted,EUPHORBIA GLYPTOSPERMA,,,,,,,,0.2,,,,,,,,,,,,,,,,
EUPHORBIA LATA,Accepted,EUPHORBIA LATA,,,,,,,,,,,,,,,,,,,,,,,,
EUPHORBIA POLYCARPA,Accepted,EUPHORBIA POLYCARPA,,,,,,,,0.13,,,,,,,,,,,,,,,,
EUPHORBIA PUBENTISSIMA,Accepted,EUPHORBIA PUBENTISSIMA,,,,,,,,,,,,,,,,,,,,,,,,
EUPHORBIA SEGUIERIANA,Accepted,EUPHORBIA SEGUIERIANA,,70.57333333,,,0.425,,,0.88,18.4,,,,,0.282776667,,,,,,,,,,
EUPHRASIA MINIMA,Unresolved,kernb.ca,synonym: Euphrasia mattfeldii,,438.24,26.868,0.108,,,,17.10079827,,,,,,,,,,,,,,,
EUTHAMIA GRAMINIFOLIA,Accepted,EUTHAMIA GRAMINIFOLIA,,120.994348,478.563948,19.4891582,0.7207,,,0.091666667,12.04198841,,,,,0.388152164,,,,,,,,,,
EVOLVULUS SERICEUS,Accepted,EVOLVULUS SERICEUS,,,,,0.165186473,,,,13.12723643,0.144270834,,,,,,,,,,,,,,
FACELIS RETUSA,Accepted,FACELIS RETUSA,,,,,0.0311,,,0.35,,,,,,,,,,,,,,,,
FAGUS SYLVATICA,Accepted,FAGUS SYLVATICA,,2027.6875,473.7944691,21.57683121,27.10185714,489.71875,3.73333,192.849,18.54393462,0.109241459,0.91875,0.565265667,,0.394795752,28.44544129,,0.524726557,,,"RootC, dpeth, RTD, SRL, Diam from groot",,,,
FALCARIA VULGARIS,Accepted,FALCARIA VULGARIS,,,,,,,,,,,,,,,,,,,,,,,,
FESTUCA ALTAICA,Accepted,FESTUCA ALTAICA,,,,,,,12.5,1.73,,,0.84,,,,,,,,,depth from groot,,,,
FESTUCA ARUNDINACEA,Accepted,FESTUCA ARUNDINACEA,,4002.5,395.5833334,26.75,0.922297147,410.4,9.306666667,2.430847857,16.0977261,0.434,1.415,0.208261132,,0.237319638,167.503371,,0.383552278,,,"RootC and N, depth, RTD, SRL, Diam from groot",,,,
FESTUCA HALLERI,Accepted,FESTUCA HALLERI,,,,,,,,1.24,,,,,,,,,,,,,,,,
FESTUCA HALLII,Accepted,FESTUCA HALLII,,,,,,,,,,,,0.499767239,,,82.94415808,,0.20186,,,"Daim, RTD, SRL from groot",,,,
FESTUCA IDAHOENSIS,Accepted,FESTUCA IDAHOENSIS,,,,,0.6096,,,1.037480408,,0.165,0.3556,,,,,,,,,,,,,
FESTUCA OVINA,Accepted,FESTUCA OVINA,,92.44006667,454.8216075,16.78631631,0.414347827,451.0411777,7.790299962,0.986487336,16.83674211,0.245561111,0.254,0.18,,0.37962724,180.6632143,0.205406167,,,0.401,"RootC and N, RTD, SRL, Diam from groot",,,,
FESTUCA PRATENSIS,Accepted,FESTUCA PRATENSIS,,,,,0.4,377.7502939,9.037334647,,,,,0.091553497,,,289.7039134,,0.217565197,,,"RootC and N, RTD, SRL, Diam from groot",,,,
FESTUCA PYROGEA,Accepted,FESTUCA PYROGEA,,,,,,,,,,,,,,,,,,,,,,,,
FESTUCA RUBRA,Accepted,FESTUCA RUBRA,,382,424.7358716,19.05492673,0.452958333,423.4,7.08,0.985066826,20.02617821,0.166666667,0.3048,0.233235525,,0.407849817,348.147287,,0.12,,,"RTD, SRL from groot",,,,
FESTUCA RUPICOLA,Accepted,FESTUCA RUPICOLA,,,437.3333333,17.52444444,0.24175,,,0.5815,14.17171717,0.306,,,,,,,,,,,,,,
FESTUCA VAGINATA,Accepted,FESTUCA VAGINATA,,,,,1,,,1.77,17.18213058,,,,,,,,,,,,,,,
FESTUCA VIVIPARA,Accepted,FESTUCA VIVIPARA,,41.51384,,,0.065,,,,11.02,,,,,0.369213333,,,,,,,,,,
FIMBRISTYLIS PUBERULA,Accepted,FIMBRISTYLIS PUBERULA,,,,,0.234,,,,18.9983695,,,,,0.415282019,,,,,,,,,,
FRAGARIA VESCA,Accepted,FRAGARIA VESCA,,2393.5,NA,16.48863464,0.136111111,,,7.449220682,24.4032544,,,0.351086957,,0.348106351,312.2441806,,0.1112,,,"RTD, SRL, Diam from groot",,,,
FRAGARIA VIRIDIS,Accepted,FRAGARIA VIRIDIS,,,,,,,,,,,,,,,,,,,,,,,,
FUMANA ERICIFOLIA,Accepted,FUMANA ERICIFOLIA,,,,10.02,0.2,,,2.264388889,4.558011959,0.592,,,,,,,,,,,,,,
FUMANA LAEVIPES,Accepted,FUMANA LAEVIPES,,,,,,,,1.18,,,,,,,,,,,,,,,,
FUMANA PROCUMBENS,Accepted,FUMANA PROCUMBENS,,10.80666667,,,0.15,,,2.4649,8.22,,,,,0.309793333,,,,,,,,,,
FUMARIA CAPREOLATA,Accepted,FUMARIA CAPREOLATA,,,,,,,,,,,,,,,,,,,,,,,,
GAILLARDIA AESTIVALIS,Accepted,GAILLARDIA AESTIVALIS,,,,,,,,,,,,,,,,,,,,,,,,
GAILLARDIA ARISTATA,Accepted,GAILLARDIA ARISTATA,,,,,0.6096,,,18.04308136,,,0.4064,,,,,,,,,,,,,
GALACTIA ERECTA,Accepted,GALACTIA ERECTA,,,,,,,,,,,,,,,,,,,,,,,,
GALACTIA MARGINALIS,Accepted,GALACTIA MARGINALIS,,,,,0.177117117,,,,6.500004464,0.285416667,,,,,,,,,,,,,,
GALACTIA REGULARIS,Accepted,GALACTIA REGULARIS,,,,,0.388,,,8.733333333,12.733856,,,,,0.447654488,,,,,,,,,,
GALIUM APARINE,Accepted,GALIUM APARINE,,107.5948467,,30.3875,0.765787211,517.6567498,17.66740825,7.23552542,34.58771111,0.1905,0.1016,0.246153846,,0.141424362,342.4265529,,0.153183334,,,"RootC and N, RTD, SRL, Diam from groot",,,,
GALIUM BOREALE,Accepted,GALIUM BOREALE,,79.79844813,416.25275,18.80683333,0.557766667,,,0.660091708,22.71017578,,0.1524,0.315984509,,0.210856667,172.8382766,,0.1779,,3.292,"RTD, SRL, Diam from groot",,,,
GALIUM LUCIDUM,Accepted,GALIUM LUCIDUM,,,,,0.375,,,0.84,,,,,,,,,,,,,,,,
GALIUM MOLLUGO,Accepted,GALIUM MOLLUGO,,80.5,442.98,29.6653889,0.57825,400.1552105,12.06782427,0.732414815,21.5515698,,,0.105319476,,0.173241429,406.1581499,,0.264461111,,,"RootC and N, RTD, SRL, Diam from groot",,,,
GALIUM RICHARDIANUM,Accepted,GALIUM RICHARDIANUM,,,,,,,,0.714,,,,,,,,,,,,,,,,
GALIUM SAXATILE,Accepted,GALIUM SAXATILE,,5,,25.1,0.175,,,0.591280952,25.08983957,0.138,,,,0.1885,,,,,,,,,,
GALIUM VERUM,Accepted,GALIUM VERUM,,15.66666667,446.0872868,21.6094737,0.516038889,381.9120613,11.75956766,0.47402674,17.72121934,0.242766667,,0.140178711,,0.241920278,402.3842917,1744.346744,0.122981034,,2.265,"RootC and N, RTD, SRL, Diam from groot",,,,
GALIUM VIRGATUM,Accepted,GALIUM VIRGATUM,,,,,,,,1.48,,,,,,,,,,,,,,,,
GAURA COCCINEA,Accepted,GAURA COCCINEA,,,,,,,,,14.93401246,,0.47,72.82032239,4.34E-07,,,0.000730797,0.345,,,"SLA, RTD,fineRTD,SRL,Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",depth from groot,,,
GAYA PARVIFLORA,Accepted,GAYA PARVIFLORA,,,,,,,,,,,,,,,,,,,,,,,,
GENISTA SCORPIUS,Accepted,GENISTA SCORPIUS,,,,,1.5,,,6.271194704,9.527159544,0.2785,,,,,,,,,,,,,,
GERANIUM DISSECTUM,Accepted,GERANIUM DISSECTUM,,1074.666667,,19.13,0.383333333,,,2.421125,23.2,0.1001825,,0.382010582,,0.238,207.6012196,,0.122766667,,,leafN from PI,"thick from Justin, RTD, SRL, Diam from groot",,,
GERANIUM MOLLE,Accepted,GERANIUM MOLLE,,457.9774833,,,0.296666667,,,1.107041667,23.20870159,,,0.329104478,,0.186666667,289.9024475,,0.112466667,,0.178,"RTD, SLR, Diam from groot",,,,
GERANIUM PUSILLUM,Accepted,GERANIUM PUSILLUM,,,,17.47,15.1,,,,26.42,,,0.417391304,,,192.0238007,,0.1212,,,"leafN, height, SLA from PI","RTD, SLR, Diam from groot",,,
GERANIUM THUNBERGII,Accepted,GERANIUM THUNBERGII,,,,,,,,,,,,,,,,,,,,,,,,
GEUM CANADENSE,Accepted,GEUM CANADENSE,,,,,12.3,0.77936,,3.909748792,20.2434208,,0.1016,,,0.226739031,,,,,,,,,,
GEUM TRIFLORUM,Accepted,GEUM TRIFLORUM,,,903.9888889,,14.44444444,0.4572,7.011111111,1.104702125,11.65346353,,0.1524,,,,,,,,,,,,,
GLADIOLUS ILLYRICUS,Accepted,GLADIOLUS ILLYRICUS,,,,,,,,4.106,,,,,,,,,,,,,,,,
GLECHOMA HEDERACEA,Accepted,GLECHOMA HEDERACEA,,,,13.09,7.2,388.0332257,15.84806833,,21.32,,,0.104315255,,,419.5272801,,0.213838095,,,"leafN, height, SLA from PI","RootC and N, RTD, SLR, Diam from groot",,,
GLOBULARIA VULGARIS,Accepted,GLOBULARIA VULGARIS,,,,,0.2,,,0.65,6.892,,,,,,,,,,0.531,,,,,
GLYCYRRHIZA LEPIDOTA,Accepted,GLYCYRRHIZA LEPIDOTA,,,,,1.2192,,,7.358619235,,,0.3048,,,,,,,,,,,,,
GNAPHALIUM SUPINUM,Accepted,GNAPHALIUM SUPINUM,,,448.9584933,22.46381487,,,,0.085,27.00300375,0.2125,,,,0.187081086,307.39,,,,,SRL from groot,,,,
GNEPHOSIS DRUMMONDII,Accepted,GNEPHOSIS DRUMMONDII,,,,,,,,0.01,,,,,,,,,,,,,,,,
GOODENIA BLACKIANA,Accepted,GOODENIA BLACKIANA,,,,,,,,,,,,,,,,,,,,,,,,
GOODENIA CYCLOPTERA,Accepted,GOODENIA CYCLOPTERA,,312.9251,,,0.14,,,5.09,8.635442029,,,,,,,,,,,,,,,
GOODENIA MIMULOIDES,Accepted,GOODENIA MIMULOIDES,,,,,,,,,,,,,,,,,,,,,,,,
GOUINIA PARAGUAYENSIS,Accepted,GOUINIA PARAGUAYENSIS,,,,,,,,,,,,,,,,,,,,,,,,
GRADERIA SCABRA,Accepted,GRADERIA SCABRA,,,,,,,,0.27,,,,,,,,,,,,,,,,
GRAYIA SPINOSA,Accepted,GRAYIA SPINOSA,,,,,0.9144,,,1.167905665,,,0.508,,,,,,,,,,,,,
GREVILLEA AUSTRALIS,Accepted,GREVILLEA AUSTRALIS,,,,,,,,14.115,,,,,,,,,,,,,,,,
GUTIERREZIA SAROTHRAE,Accepted,GUTIERREZIA SAROTHRAE,,,,25.525,0.4572,347.3473358,8.999919367,0.940960816,12.74522303,,0.4064,0.225,,,82.97823597,,0.2661,,,"SLA, from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","RootC and N, RTD, SLR, Diam from groot",,,
GYMNADENIA CONOPSEA,Accepted,GYMNADENIA CONOPSEA,,1945.166667,451.8765272,28.85621237,0.45,,,0.007333333,19.92759166,0.3875,,,,0.135470831,,,,,,,,,,
GYPSOPHILA PANICULATA,Accepted,GYPSOPHILA PANICULATA,,,,,0.85,,,0.715666667,,,,,,,,,,,,,,,,
GYPSOPHILA REPENS,Accepted,GYPSOPHILA REPENS,,56.16666667,,,0.14,,,0.790333333,15.67666667,,,,,0.14715,,,,,,,,,,
GYPSOPHILA STRUTHIUM,Accepted,GYPSOPHILA STRUTHIUM,,,,,0.6,,,0.6682,7.680246718,1.192,,,,,,,,,,,,,,
HEDEOMA ACINOIDES,Accepted,HEDEOMA ACINOIDES,,,,,,,,0.07,,,,,,,,,,,,,,,,
HEDEOMA HISPIDA,Accepted,HEDEOMA HISPIDA,,,,,0.14225,,,0.195,21.38832049,,,0.15,,0.239350558,166,,0.22,,0.0706,"RTD, SLR, Diam from groot",,,,
HELENIUM AMARUM,Unresolved,,NA,,,,,,,0.23,,,,,,,,,,,,,,,,
HELIANTHEMUM APENNINUM,Accepted,HELIANTHEMUM APENNINUM,,,,,,352.2,9.865,,,,,0.15028831,,,59.38651,,0.338844725,,,"RootC and N, RTD, SRL, Diam from groot",,,,
HELIANTHEMUM BICKNELLII,Accepted,HELIANTHEMUM BICKNELLII,,,,,,,,,,,,,,,,,,,,,,,,
HELIANTHEMUM CINEREUM,Accepted,HELIANTHEMUM CINEREUM,,,,,,,,,,,,,,,,,,,,,,,,
HELIANTHEMUM LAVANDULIFOLIUM,Accepted,HELIANTHEMUM LAVANDULIFOLIUM,,,,,,,,,,,,,,,,,,,,,,,,
HELIANTHEMUM MARIFOLIUM,Accepted,HELIANTHEMUM MARIFOLIUM,,,,,0.3,,,0.672896341,7.659559676,0.532,,,,,,,,,,,,,,
HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM,Misapplied,Helianthemum cinereum,"updated taxon name is listed above, at different sites",,,,,,6.27,,,,,,,,,,,,,RootN from groot,,,,
HELIANTHEMUM SQUAMATUM,Accepted,HELIANTHEMUM SQUAMATUM,,,,21.4,0.4,,,0.352227273,12.83542743,0.677,,,,,,,,,,,,,,
HELIANTHUS ANNUUS,Accepted,HELIANTHUS ANNUUS,,11293.96333,,18,2.847733333,,27.3,32.60301121,18.91505647,,0.2032,0.086907021,,0.132666667,191.3969043,,0.945853228,,,"RootN, RTD, SLR, Diam from groot",,,,
HELIANTHUS PAUCIFLORUS,Accepted,HELIANTHUS PAUCIFLORUS,,,,,0.39,,,,9.153001144,,1.27,0.19,,,52,,0.36,,0.179688157,"RTD, SLR, depth, diam from groot",,,,
HELICHRYSUM NUDIFOLIUM,Accepted,HELICHRYSUM NUDIFOLIUM,,,,,,,,0.12,,,,,,,,,,,,,,,,
HELICHRYSUM STOECHAS,Accepted,HELICHRYSUM STOECHAS,,,,15.1,0.4,,,0.0619,14.05029913,0.495,,0.652701216,,,6.114890701,,0.49195,,,"RTD, SLR, Diam from groot",,,,
HELICTOTRICHON FILIFOLIUM,Accepted,HELICTOTRICHON FILIFOLIUM,,,,,,,,,,,,,,,,,,,,,,,,
HELICTOTRICHON HOOKERI,Accepted,HELICTOTRICHON HOOKERI,,,,,,,,1.79,,,,,,,,,,,,,,,,
HELICTOTRICHON PRATENSE,Accepted,HELICTOTRICHON PRATENSE,,932,,16.4,0.816666667,,,2.37305,14.06030769,,,0.669747899,,0.322666667,85.98480816,,0.1543,,0.288,"RTD, SLR, Diam from groot",,,,
HELICTOTRICHON PUBESCENS,Accepted,HELICTOTRICHON PUBESCENS,,967.09,,,0.680625,308.8028214,7.892636683,1.848441667,18.69463141,0.1937,0.3,0.090296815,,0.264,62.86954053,,0.161264502,,0.347,"RootC  and N, RTD, SLR, Diam, depth from groot",,,,
HELICTOTRICHON VERSICOLOR,Accepted,HELICTOTRICHON VERSICOLOR,,,447.1846202,18.88884001,0.14,425.9997548,6.081157261,NA,11.48996431,0.257,,,,0.376691909,77.65999999,,,,,"RootC and N, SRL from groot",,,,
HELIOPSIS HELIANTHOIDES,Accepted,HELIOPSIS HELIANTHOIDES,,,,,1.2745,,,4.661,19.34129566,,,0.155412644,,0.197167141,61.30678286,,0.38123125,,,"RTD, SLR, Diam from groot",,,,
HEPATICA NOBILIS,Accepted,HEPATICA NOBILIS,,,,,,,,,,,,,,,,,,,,,,,,
HERNIARIA FRUTICOSA,Accepted,HERNIARIA FRUTICOSA,,,,,,,,,,,,,,,,,,,,,,,,
HESPEROSTIPA COMATA,Synonym,Stipa comata,"synonym already list, at different sites",,,,,,,,7.226,,,0.3762,,,12.494,,,,,"SLA, SRL, RTD from Butterfield et al. 2017 Plant Ecol",,,,
HETEROPOGON CONTORTUS,Accepted,HETEROPOGON CONTORTUS,,,444.9,11.22375,0.21336,426,4.15,1.878295529,9.881422925,0.1025,0.254,0.371,,,16.75282186,,0.25,,,"RTD, SLR from groot",,,,
HETEROTHECA SUBAXILLARIS,Accepted,HETEROTHECA SUBAXILLARIS,,,,,1.8,,,0.65525,,,,,,,,,,,,,,,,
HETEROTHECA VILLOSA,Accepted,HETEROTHECA VILLOSA,,,,,,387.1346664,12.64685988,,,,,0.252040816,,,78.64084077,,0.2195,,,"RootC and N, RTD, SLR, Diam from groot",,,,
